id,skills_in_desc
123477508,Tableau
123477508,Excel
122800531,SQL
122800531,Kafka
122800531,Jira
122800531,Confluence
123538493,SQL
123538493,Python
123538493,Power BI
123538493,Tableau
123538493,DWH
123538493,ETL
123538493,ML
123538493,Pandas
123001201,SQL
122305450,SQL
122305450,Excel
122305450,Jira
122305450,Confluence
121473225,Excel
123400447,Python
123400447,ClickHouse
123400447,Kafka
123400447,Airflow
123400447,DWH
123400447,ETL
123400447,ML
123424699,SQL
123424699,Superset
123424699,Excel
123424699,MS SQL
123424699,Confluence
123365935,SQL
123365935,Python
123365935,Power BI
123365935,Tableau
123365935,Qlik
123365935,Oracle
123376577,Excel
123376577,Google Sheets
123410646,SQL
123410646,REST API
122574571,SQL
122574571,Python
122574571,PostgreSQL
123526488,SQL
123526488,Python
123526488,Greenplum
123526488,Hadoop
123526488,Spark
123526488,Hive
123526488,Kafka
123526488,Airflow
123526488,DWH
123526488,ETL
123526488,ELT
123526488,dbt
123533293,SQL
123533293,Python
123533293,Excel
123227836,Excel
123227836,Google Sheets
123480843,SQL
123480843,Python
123480843,Excel
123507416,ML
123507416,AI
123507416,Docker
123507416,PyTorch
123194252,SQL
123194252,Python
123194252,Математика
123194252,Статистика
123408335,SQL
123408335,Kafka
123408335,REST API
123408335,WebSocket
123350781,SQL
123350781,Python
123350781,Hadoop
123350781,Spark
123350781,Kafka
123350781,Airflow
123350781,Jira
123350781,Confluence
123350781,Git
123350781,CI/CD
123274447,Agile
121878059,MySQL
121878059,Oracle
121878059,Kafka
121878059,Jira
121878059,Confluence
121878059,REST API
122351029,SQL
122351029,1C
122351029,Power BI
122351029,Tableau
122351029,Excel
123473924,Статистика
123161280,SQL
123161280,Power BI
123161280,Excel
123427004,SQL
123427004,Python
123427004,Scala
123427004,Hadoop
123427004,Spark
123427004,Airflow
123427004,DWH
123427004,ETL
123453740,SQL
123518632,SQL
123518632,Greenplum
123518632,DWH
123518632,Jira
120428106,SQL
120428106,Python
120428106,Airflow
120428106,ETL
120428106,dbt
122362806,SQL
122362806,Python
122362806,R
122362806,Power BI
122362806,Excel
123384419,SQL
